"Registration.date","Total.usage.time","Pets","Carpet.score","Sent.for.repair","Failure.date","Battery.status","Impact.status","IR.status","Possession.time"
2018-09-08,347,0,2,0,2019-12-31,0,0,0,11496
2019-01-20,388,1,2,0,2019-12-31,0,0,0,8280
2016-12-09,1163,0,3,0,2019-12-31,0,0,0,26808
2018-06-05,516,0,3,0,2019-12-31,0,0,0,13776
2015-01-08,2247,0,4,0,2019-12-31,0,0,0,43632
2019-03-01,290,0,5,0,2019-12-31,0,0,0,7320
2015-01-14,2340,0,3,0,2019-12-31,0,0,0,43488
2016-01-15,1257,0,2,0,2019-12-31,0,0,0,34704
2019-07-14,113,0,2,0,2019-12-31,0,0,0,4080
2018-01-22,750,0,4,0,2019-12-31,0,0,0,16992
2016-11-24,1609,1,5,0,2019-12-31,0,0,0,27168
2017-03-06,611,0,2,0,2019-12-31,0,0,0,24720
2015-03-10,1828,1,4,1,2017-04-20,1,0,0,18528
2019-11-13,32,0,4,0,2019-12-31,0,0,0,1152
2017-02-27,935,0,2,0,2019-12-31,0,0,0,24888
2019-10-15,117,1,2,0,2019-12-31,0,0,0,1848
2019-06-10,503,1,3,0,2019-12-31,0,0,0,4896
2018-03-14,1207,1,4,0,2019-12-31,0,0,0,15768
2019-11-08,54,0,7,0,2019-12-31,0,0,0,1272
2018-02-03,1869,1,1,0,2019-12-31,0,0,0,16704
2016-08-31,979,0,2,0,2019-12-31,0,0,0,29208
2016-09-25,945,0,1,0,2019-12-31,0,0,0,28608
2016-12-28,1288,0,2,0,2019-12-31,0,0,0,26352
2018-12-03,632,0,3,0,2019-12-31,0,0,0,9432
2015-03-13,2108,0,2,1,2019-07-04,0,1,0,37776
2018-09-29,602,0,2,0,2019-12-31,0,0,0,10992
2018-05-21,143,0,3,1,2018-11-03,0,0,1,3984
2015-11-09,2942,1,3,0,2019-12-31,0,0,0,36312
2016-04-21,1372,0,4,0,2019-12-31,0,0,0,32376
2017-07-28,598,0,1,0,2019-12-31,0,0,0,21264
2018-05-18,443,0,1,0,2019-12-31,0,0,0,14208
2019-11-30,38,0,5,0,2019-12-31,0,0,0,744
2018-10-18,833,1,1,0,2019-12-31,0,0,0,10536
2017-10-31,559,0,4,0,2019-12-31,0,0,0,18984
2019-04-01,377,0,4,0,2019-12-31,0,0,0,6576
2015-12-12,2525,1,3,0,2019-12-31,0,0,0,35520
2016-05-10,295,1,3,1,2016-09-25,0,0,1,3312
2019-02-21,904,1,6,0,2019-12-31,0,0,0,7512
2018-06-19,839,1,3,0,2019-12-31,0,0,0,13440
2016-03-15,841,1,4,0,2019-12-31,0,0,0,33264
2015-03-20,1901,0,3,0,2019-12-31,0,0,0,41928
2015-09-14,3285,1,4,0,2019-12-31,0,0,0,37656
2016-01-31,2413,1,3,1,2018-09-02,1,0,0,22680
2017-05-25,874,0,2,0,2019-12-31,0,0,0,22800
2015-12-27,2416,1,7,0,2019-12-31,0,0,0,35160
2018-08-06,520,0,4,0,2019-12-31,0,0,0,12288
2015-01-15,2050,0,2,0,2019-12-31,0,0,0,43464
2016-11-16,1239,0,2,0,2019-12-31,0,0,0,27360
2017-07-28,1253,1,3,0,2019-12-31,0,0,0,21264
2015-01-03,2923,1,2,1,2017-11-23,0,1,0,25320
2017-11-28,711,0,3,0,2019-12-31,0,0,0,18312
2015-10-16,1282,0,6,0,2019-12-31,0,0,0,36888
2016-10-17,2037,1,3,1,2019-06-07,1,0,0,23112
2018-03-24,292,0,3,0,2019-12-31,0,0,0,15528
2018-11-17,457,0,4,0,2019-12-31,0,0,0,9816
2017-10-26,2013,1,2,0,2019-12-31,0,0,0,19104
2016-03-02,644,0,2,0,2019-12-31,0,0,0,33576
2015-06-14,2978,1,4,0,2019-12-31,0,0,0,39864
2015-06-06,2727,1,3,0,2019-12-31,0,0,0,40056
2016-07-11,2890,1,3,0,2019-12-31,0,0,0,30432
2018-05-03,928,0,2,0,2019-12-31,0,0,0,14568
2015-01-01,2684,1,2,1,2019-12-11,0,0,0,43320
2016-01-16,474,0,3,1,2018-02-14,0,0,1,18240
2019-08-31,82,0,4,0,2019-12-31,0,0,0,2928
2019-08-18,280,1,4,0,2019-12-31,0,0,0,3240
2018-09-02,396,0,5,0,2019-12-31,0,0,0,11640
2016-08-31,916,0,3,0,2019-12-31,0,0,0,29208
2017-07-29,743,0,1,0,2019-12-31,0,0,0,21240
2018-09-20,814,1,4,0,2019-12-31,0,0,0,11208
2018-02-04,1553,1,3,0,2019-12-31,0,0,0,16680
2018-02-17,1459,1,3,0,2019-12-31,0,0,0,16368
2016-02-01,1866,0,5,0,2019-12-31,0,0,0,34296
2016-01-31,2756,1,4,0,2019-12-31,0,0,0,34320
2016-12-11,1373,1,4,0,2019-12-31,0,0,0,26760
2019-09-17,115,0,6,0,2019-12-31,0,0,0,2520
2019-10-24,50,0,6,0,2019-12-31,0,0,0,1632
2018-09-12,588,0,3,0,2019-12-31,0,0,0,11400
2018-08-31,548,0,4,0,2019-12-31,0,0,0,11688
2017-09-05,1260,0,2,0,2019-12-31,0,0,0,20328
2015-01-05,1591,1,3,1,2019-11-26,0,0,0,42864
2018-01-16,837,0,2,0,2019-12-31,0,0,0,17136
2019-03-08,235,0,2,0,2019-12-31,0,0,0,7152
2018-10-04,371,0,2,0,2019-12-31,0,0,0,10872
2017-04-06,1017,0,4,0,2019-12-31,0,0,0,23976
2017-09-05,1645,1,6,1,2019-06-07,1,0,0,15360
2017-09-08,528,0,2,0,2019-12-31,0,0,0,20256
2015-01-03,1069,0,1,0,2019-12-31,0,0,0,43752
2016-10-11,854,0,4,0,2019-12-31,0,0,0,28224
2018-01-22,836,0,2,0,2019-12-31,0,0,0,16992
2019-02-22,387,0,2,0,2019-12-31,0,0,0,7488
2016-10-13,1881,1,3,0,2019-12-31,0,0,0,28176
2017-01-19,1592,0,5,1,2019-12-03,1,0,0,25152
2017-11-13,558,0,2,0,2019-12-31,0,0,0,18672
2017-12-12,843,1,3,0,2019-12-31,0,0,0,17976
2018-08-07,718,0,4,0,2019-12-31,0,0,0,12264
2016-12-22,2459,1,4,0,2019-12-31,0,0,0,26496
2019-08-06,62,0,2,0,2019-12-31,0,0,0,3528
2019-10-24,95,0,3,0,2019-12-31,0,0,0,1632
2016-03-02,1040,0,4,0,2019-12-31,0,0,0,33576
2018-08-15,373,0,5,0,2019-12-31,0,0,0,12072
2019-07-09,336,1,2,0,2019-12-31,0,0,0,4200
2018-01-06,913,0,2,0,2019-12-31,0,0,0,17376
2018-02-27,1672,1,3,1,2019-10-29,1,0,0,14616
2019-09-08,349,1,2,0,2019-12-31,0,0,0,2736
2019-04-02,299,0,8,0,2019-12-31,0,0,0,6552
2017-11-24,1546,1,3,0,2019-12-31,0,0,0,18408
2019-02-08,246,0,2,0,2019-12-31,0,0,0,7824
2015-07-27,1416,0,5,0,2019-12-31,0,0,0,38832
2018-10-27,584,0,3,0,2019-12-31,0,0,0,10320
2018-02-12,1179,1,2,0,2019-12-31,0,0,0,16488
2015-09-29,3043,1,2,0,2019-12-31,0,0,0,37296
2015-05-27,1565,0,5,0,2019-12-31,0,0,0,40296
2017-04-27,712,0,2,0,2019-12-31,0,0,0,23472
2018-11-24,986,1,1,0,2019-12-31,0,0,0,9648
2018-09-01,642,0,3,0,2019-12-31,0,0,0,11664
2019-02-01,325,0,3,0,2019-12-31,0,0,0,7992
2015-11-07,1312,0,5,0,2019-12-31,0,0,0,36360
2019-09-22,213,1,6,0,2019-12-31,0,0,0,2400
2016-06-20,1424,0,3,0,2019-12-31,0,0,0,30936
2015-09-30,3065,1,2,1,2019-11-23,1,0,0,36360
2018-08-06,661,1,4,0,2019-12-31,0,0,0,12288
2016-08-14,2438,1,5,0,2019-12-31,0,0,0,29616
2018-11-23,431,0,2,0,2019-12-31,0,0,0,9672
2016-12-21,116,0,2,1,2017-05-22,0,0,1,3648
2018-05-24,344,0,3,0,2019-12-31,0,0,0,14064
2018-11-17,488,0,4,0,2019-12-31,0,0,0,9816
2015-12-10,1594,0,4,1,2019-03-05,0,0,1,28344
2015-02-23,1820,0,2,0,2019-12-31,0,0,0,42528
2015-09-05,2672,1,6,1,2019-01-05,1,0,0,29232
2018-05-26,452,0,2,0,2019-12-31,0,0,0,14016
2019-09-03,167,0,3,0,2019-12-31,0,0,0,2856
2017-10-02,737,0,2,0,2019-12-31,0,0,0,19680
2018-01-03,893,0,3,0,2019-12-31,0,0,0,17448
2015-12-26,2381,1,2,0,2019-12-31,0,0,0,35184
2017-09-04,1760,1,5,0,2019-12-31,0,0,0,20352
2015-11-24,2540,1,3,1,2019-06-08,0,1,0,31008
2017-04-05,898,0,4,0,2019-12-31,0,0,0,24000
2016-08-01,1569,0,4,0,2019-12-31,0,0,0,29928
2015-08-01,2148,1,1,0,2019-12-31,0,0,0,38712
2015-12-06,2233,1,4,1,2018-09-08,1,0,0,24168
2018-08-25,437,0,5,0,2019-12-31,0,0,0,11832
2017-01-22,1234,0,3,0,2019-12-31,0,0,0,25752
2017-01-26,1238,0,5,0,2019-12-31,0,0,0,25656
2017-05-27,1757,1,3,0,2019-12-31,0,0,0,22752
2017-02-19,1235,0,3,0,2019-12-31,0,0,0,25080
2015-09-07,2085,1,3,1,2017-07-23,1,0,0,16440
2019-02-14,370,0,2,0,2019-12-31,0,0,0,7680
2017-12-17,553,1,5,0,2019-12-31,0,0,0,17856
2018-12-21,399,0,1,0,2019-12-31,0,0,0,9000
2018-11-05,599,1,2,0,2019-12-31,0,0,0,10104
2019-08-04,97,0,1,0,2019-12-31,0,0,0,3576
2019-04-25,234,0,4,0,2019-12-31,0,0,0,6000
2016-08-01,1325,0,2,0,2019-12-31,0,0,0,29928
2016-04-18,1445,0,2,0,2019-12-31,0,0,0,32448
2018-09-17,471,0,2,0,2019-12-31,0,0,0,11280
2018-09-26,1067,1,2,0,2019-12-31,0,0,0,11064
2019-08-04,355,1,3,0,2019-12-31,0,0,0,3576
2018-12-19,422,0,6,0,2019-12-31,0,0,0,9048
2015-09-01,2379,0,3,1,2019-08-26,0,1,0,34920
2016-06-09,805,0,5,0,2019-12-31,0,0,0,31200
2015-12-22,2112,1,3,1,2018-02-10,1,0,0,18744
2018-12-02,469,0,3,0,2019-12-31,0,0,0,9456
2015-08-24,1185,1,4,0,2019-12-31,0,0,0,38160
2015-08-24,1408,1,3,1,2017-05-06,1,0,0,14904
2015-05-12,2463,0,4,0,2019-12-31,0,0,0,40656
2015-04-08,2748,1,3,1,2018-11-06,1,0,0,31392
2017-08-29,771,0,3,0,2019-12-31,0,0,0,20496
2015-07-25,1857,0,3,0,2019-12-31,0,0,0,38880
2018-09-19,426,1,4,0,2019-12-31,0,0,0,11232
2018-08-28,454,0,4,0,2019-12-31,0,0,0,11760
2019-06-05,269,0,5,0,2019-12-31,0,0,0,5016
2017-08-02,641,0,2,0,2019-12-31,0,0,0,21144
2019-04-05,217,0,3,0,2019-12-31,0,0,0,6480
2017-03-19,1842,1,2,0,2019-12-31,0,0,0,24408
2015-10-16,1536,0,1,0,2019-12-31,0,0,0,36888
2017-03-18,1275,0,4,0,2019-12-31,0,0,0,24432
2019-11-03,98,1,1,0,2019-12-31,0,0,0,1392
2017-06-03,1124,1,3,1,2018-04-22,1,0,0,7752
2016-04-05,1302,0,3,0,2019-12-31,0,0,0,32760
2016-04-19,1712,0,3,0,2019-12-31,0,0,0,32424
2017-09-16,2234,1,4,0,2019-12-31,0,0,0,20064
2018-04-01,793,1,4,0,2019-12-31,0,0,0,15336
2016-09-06,1101,0,3,0,2019-12-31,0,0,0,29064
2015-04-22,2008,0,1,0,2019-12-31,0,0,0,41136
2017-04-04,2162,1,4,1,2019-10-19,1,0,0,22272
2019-03-12,409,0,1,0,2019-12-31,0,0,0,7056
2017-11-15,774,0,4,0,2019-12-31,0,0,0,18624
2016-10-07,2586,1,3,1,2019-06-23,1,0,0,23736
2017-09-26,980,0,4,0,2019-12-31,0,0,0,19824
2019-06-19,479,1,2,0,2019-12-31,0,0,0,4680
2017-06-13,981,0,3,0,2019-12-31,0,0,0,22344
2015-11-10,566,0,3,1,2017-03-12,0,0,1,11712
2017-09-18,798,0,4,0,2019-12-31,0,0,0,20016
2019-10-22,67,0,3,0,2019-12-31,0,0,0,1680
2016-07-26,1481,0,3,0,2019-12-31,0,0,0,30072
2019-02-07,322,0,3,0,2019-12-31,0,0,0,7848
2016-07-14,2350,1,2,1,2019-04-14,1,0,0,24096
2015-12-05,2124,0,3,0,2019-12-31,0,0,0,35688
2015-03-30,2321,0,3,1,2019-12-27,0,0,0,41592
2016-03-24,1686,1,3,0,2019-12-31,0,0,0,33048
2016-10-03,1574,1,2,1,2019-01-10,0,0,1,19896
2015-10-18,1441,0,4,0,2019-12-31,0,0,0,36840
2016-07-09,1412,0,3,0,2019-12-31,0,0,0,30480
2015-02-02,1013,0,4,0,2019-12-31,0,0,0,43032
2019-12-25,7,0,1,0,2019-12-31,0,0,0,144
2019-01-08,228,0,4,0,2019-12-31,0,0,0,8568
2015-06-08,1940,0,2,0,2019-12-31,0,0,0,40008
2019-05-08,144,0,3,0,2019-12-31,0,0,0,5688
2017-10-09,279,0,4,0,2019-12-31,0,0,0,19512
2017-02-08,2354,1,5,1,2019-08-08,1,0,0,21864
2015-05-04,2147,0,1,1,2019-07-13,0,1,0,36744
2017-10-22,738,0,3,0,2019-12-31,0,0,0,19200
2015-05-10,813,0,2,1,2017-11-27,1,0,0,22368
2016-01-22,1338,1,3,0,2019-12-31,0,0,0,34536
2017-09-30,1694,1,2,0,2019-12-31,0,0,0,19728
2017-05-30,1898,1,3,0,2019-12-31,0,0,0,22680
2015-10-19,816,0,3,1,2019-08-03,0,0,0,33216
2015-10-01,1044,0,2,0,2019-12-31,0,0,0,37248
2017-06-30,1313,1,3,0,2019-12-31,0,0,0,21936
2019-09-14,95,0,5,0,2019-12-31,0,0,0,2592
2016-09-02,1791,1,3,1,2018-12-01,1,0,0,19680
2015-12-11,2461,0,2,0,2019-12-31,0,0,0,35544
2016-05-07,1731,0,3,0,2019-12-31,0,0,0,31992
2017-08-27,1919,1,1,0,2019-12-31,0,0,0,20544
2015-02-09,2172,1,2,1,2018-04-28,0,1,0,28176
2018-12-29,115,0,3,0,2019-12-31,0,0,0,8808
2015-07-21,3243,1,2,1,2019-12-26,1,0,0,38856
2017-09-12,866,1,3,0,2019-12-31,0,0,0,20160
2017-11-09,1256,1,5,1,2018-12-27,1,0,0,9912
2018-02-04,555,0,1,0,2019-12-31,0,0,0,16680
2018-07-29,506,0,1,0,2019-12-31,0,0,0,12480
2015-08-14,2395,1,3,0,2019-12-31,0,0,0,38400
2016-07-21,2336,1,3,0,2019-12-31,0,0,0,30192
2019-09-23,100,0,3,0,2019-12-31,0,0,0,2376
2017-07-02,1783,1,4,0,2019-12-31,0,0,0,21888
2015-09-04,2099,1,5,0,2019-12-31,0,0,0,37896
2019-05-07,255,0,3,0,2019-12-31,0,0,0,5712
2016-01-10,1738,0,5,0,2019-12-31,0,0,0,34824
2019-08-17,254,1,7,0,2019-12-31,0,0,0,3264
2019-06-08,273,0,2,0,2019-12-31,0,0,0,4944
2015-09-06,2596,1,5,1,2019-02-06,1,0,0,29976
2018-12-05,860,1,5,0,2019-12-31,0,0,0,9384
2017-04-07,1822,1,5,0,2019-12-31,0,0,0,23952
2015-09-05,2833,1,2,1,2019-04-19,0,1,0,31728
2019-06-05,289,0,4,0,2019-12-31,0,0,0,5016
2016-09-06,1117,0,4,0,2019-12-31,0,0,0,29064
2016-08-05,1243,1,3,0,2019-12-31,0,0,0,29832
2017-01-07,1098,0,2,0,2019-12-31,0,0,0,26112
2017-05-24,1424,0,4,0,2019-12-31,0,0,0,22824
2016-11-02,341,0,2,1,2018-12-20,0,0,1,18672
2017-04-30,651,0,6,0,2019-12-31,0,0,0,23400
2015-04-02,251,1,4,1,2016-02-13,0,0,1,7608
2015-12-09,2191,0,1,1,2019-05-24,0,1,0,30288
2019-11-30,41,0,5,0,2019-12-31,0,0,0,744
2016-08-22,446,1,2,1,2019-04-13,0,0,1,23136
2015-11-09,1735,0,5,0,2019-12-31,0,0,0,36312
2017-06-10,1198,1,7,1,2018-09-30,1,0,0,11448
2015-02-04,847,0,4,0,2019-12-31,0,0,0,42984
2016-09-11,1143,1,4,0,2019-12-31,0,0,0,28944
2015-02-24,1691,0,3,1,2019-05-16,0,0,0,37008
2019-05-03,362,1,3,0,2019-12-31,0,0,0,5808
2018-08-29,644,0,2,0,2019-12-31,0,0,0,11736
2016-07-29,1191,0,3,0,2019-12-31,0,0,0,30000
2016-12-06,759,0,4,0,2019-12-31,0,0,0,26880
2016-08-30,1252,0,3,0,2019-12-31,0,0,0,29232
2015-06-13,1071,0,2,0,2019-12-31,0,0,0,39888
2018-10-14,493,0,3,0,2019-12-31,0,0,0,10632
2018-01-06,559,0,2,0,2019-12-31,0,0,0,17376
2015-09-23,1263,0,4,0,2019-12-31,0,0,0,37440
2015-03-01,1892,0,2,0,2019-12-31,0,0,0,42384
2017-06-02,1978,1,3,0,2019-12-31,0,0,0,22608
2017-03-22,2403,1,5,1,2019-09-09,1,0,0,21624
2015-04-21,1417,0,4,0,2019-12-31,0,0,0,41160
2016-08-21,2674,1,3,0,2019-12-31,0,0,0,29448
2019-05-24,485,1,5,0,2019-12-31,0,0,0,5304
2019-08-27,114,1,3,0,2019-12-31,0,0,0,3024
2016-12-17,1090,0,2,0,2019-12-31,0,0,0,26616
2015-10-18,1031,0,3,0,2019-12-31,0,0,0,36840
2016-08-07,1483,0,5,0,2019-12-31,0,0,0,29784
2016-07-14,1556,0,3,0,2019-12-31,0,0,0,30360
2015-07-16,2546,1,3,1,2019-03-17,0,1,0,32160
2019-11-24,75,1,3,0,2019-12-31,0,0,0,888
2017-06-26,1018,0,2,0,2019-12-31,0,0,0,22032
2015-06-19,479,0,4,0,2019-12-31,0,0,0,39744
2016-01-22,2500,1,5,1,2018-04-22,1,0,0,19704
2019-08-27,296,1,3,0,2019-12-31,0,0,0,3024
2016-06-26,1347,0,4,0,2019-12-31,0,0,0,30792
2018-04-07,748,1,4,0,2019-12-31,0,0,0,15192
2019-07-04,224,0,4,0,2019-12-31,0,0,0,4320
2019-12-15,45,1,4,0,2019-12-31,0,0,0,384
2017-02-24,1083,0,2,1,2019-06-21,0,0,1,20328
2016-12-20,2197,1,2,0,2019-12-31,0,0,0,26544
2015-09-17,1113,1,2,1,2016-10-15,1,0,0,9456
2016-05-25,804,0,2,0,2019-12-31,0,0,0,31560
2017-10-28,1614,1,4,0,2019-12-31,0,0,0,19056
2019-09-04,172,1,2,0,2019-12-31,0,0,0,2832
2016-10-16,1084,0,5,0,2019-12-31,0,0,0,28104
2019-03-18,378,0,4,0,2019-12-31,0,0,0,6912
2018-08-12,555,0,2,0,2019-12-31,0,0,0,12144
2018-10-02,546,0,3,0,2019-12-31,0,0,0,10920
2019-08-15,188,1,2,0,2019-12-31,0,0,0,3312
2015-01-05,2348,0,3,0,2019-12-31,0,0,0,43704
2015-10-20,3350,1,2,1,2019-09-27,0,1,0,34512
2016-12-30,469,0,1,0,2019-12-31,0,0,0,26304
2018-05-18,603,0,2,0,2019-12-31,0,0,0,14208
2017-05-27,1297,1,4,0,2019-12-31,0,0,0,22752
2017-09-01,778,0,3,0,2019-12-31,0,0,0,20424
2016-08-01,1713,1,4,0,2019-12-31,0,0,0,29928
2019-01-27,254,0,2,0,2019-12-31,0,0,0,8112
2016-06-17,2200,1,4,1,2019-06-23,1,0,0,26424
2017-01-17,1180,1,4,0,2019-12-31,0,0,0,25872
2015-06-16,1307,0,3,0,2019-12-31,0,0,0,39816
2018-12-29,414,0,4,0,2019-12-31,0,0,0,8808
2016-10-18,2757,1,4,0,2019-12-31,0,0,0,28056
2015-03-15,1142,0,4,0,2019-12-31,0,0,0,42048
2015-03-17,559,0,6,0,2019-12-31,0,0,0,42000
2019-10-09,132,1,5,0,2019-12-31,0,0,0,1992
2016-11-12,1503,1,8,0,2019-12-31,0,0,0,27456
2019-01-12,442,0,3,0,2019-12-31,0,0,0,8472
2019-07-20,233,0,3,0,2019-12-31,0,0,0,3936
2017-03-14,2301,1,2,0,2019-12-31,0,0,0,24528
2017-11-18,695,0,1,0,2019-12-31,0,0,0,18552
2015-05-15,3023,1,4,1,2018-07-13,1,0,0,27720
2015-10-28,1412,0,3,0,2019-12-31,0,0,0,36600
2018-09-13,349,0,3,0,2019-12-31,0,0,0,11376
2017-05-18,1363,0,5,0,2019-12-31,0,0,0,22968
2018-06-05,990,1,1,0,2019-12-31,0,0,0,13776
2019-10-04,192,1,2,0,2019-12-31,0,0,0,2112
2017-06-27,1120,1,5,1,2019-01-20,1,0,0,13728
2017-05-09,1587,0,4,0,2019-12-31,0,0,0,23184
2017-10-19,1785,1,4,1,2019-07-14,1,0,0,15192
2018-04-06,1299,1,3,0,2019-12-31,0,0,0,15216
2016-05-25,2099,1,2,1,2019-12-25,1,0,0,31416
2019-11-25,57,1,1,0,2019-12-31,0,0,0,864
2018-03-21,1611,1,1,0,2019-12-31,0,0,0,15600
2017-11-29,496,0,5,0,2019-12-31,0,0,0,18288
2018-01-29,853,0,3,0,2019-12-31,0,0,0,16824
2019-08-17,225,1,3,0,2019-12-31,0,0,0,3264
2016-12-13,1363,0,5,0,2019-12-31,0,0,0,26712
2016-06-09,1118,0,6,0,2019-12-31,0,0,0,31200
2015-06-15,2054,0,2,0,2019-12-31,0,0,0,39840
2016-08-11,1580,0,4,0,2019-12-31,0,0,0,29688
2018-10-16,845,1,7,0,2019-12-31,0,0,0,10584
2015-07-10,2062,0,3,0,2019-12-31,0,0,0,39240
2018-07-20,1176,1,5,0,2019-12-31,0,0,0,12696
2019-10-31,73,0,5,0,2019-12-31,0,0,0,1464
2016-01-03,13,0,2,1,2016-01-15,0,0,1,288
2015-07-18,2200,1,2,1,2019-03-14,0,1,0,32040
2015-04-12,1682,0,4,0,2019-12-31,0,0,0,41376
2019-02-24,240,0,3,0,2019-12-31,0,0,0,7440
2017-11-27,266,0,3,0,2019-12-31,0,0,0,18336
2017-05-08,774,0,4,0,2019-12-31,0,0,0,23208
2016-10-28,2437,1,2,1,2019-04-30,1,0,0,21936
2016-05-26,531,0,4,0,2019-12-31,0,0,0,31536
2017-12-31,680,0,4,0,2019-12-31,0,0,0,17520
2019-02-03,176,0,4,0,2019-12-31,0,0,0,7944
2015-06-28,2658,1,1,1,2019-11-08,0,1,0,38256
2019-10-26,147,1,3,0,2019-12-31,0,0,0,1584
2015-11-05,2400,1,3,1,2019-06-18,1,0,0,31704
2015-06-07,1693,0,4,1,2019-10-02,0,0,1,37872
2019-04-22,113,0,3,0,2019-12-31,0,0,0,6072
2017-08-16,1150,0,3,0,2019-12-31,0,0,0,20808
2018-04-14,732,0,4,0,2019-12-31,0,0,0,15024
2016-02-24,1469,1,2,0,2019-12-31,0,0,0,33744
2018-08-09,465,0,4,0,2019-12-31,0,0,0,12216
2017-06-15,1211,0,3,0,2019-12-31,0,0,0,22296
2019-10-29,42,0,2,0,2019-12-31,0,0,0,1512
2019-07-15,309,1,2,0,2019-12-31,0,0,0,4056
2017-10-03,909,0,3,0,2019-12-31,0,0,0,19656
2015-05-19,2905,1,3,0,2019-12-31,0,0,0,40488
2015-02-11,661,0,2,0,2019-12-31,0,0,0,42816
2017-07-26,1680,1,5,1,2019-08-03,1,0,0,17712
2018-02-25,1389,1,6,0,2019-12-31,0,0,0,16176
2017-02-03,2525,1,3,0,2019-12-31,0,0,0,25464
2019-05-25,397,1,2,0,2019-12-31,0,0,0,5280
2015-07-17,1621,1,4,0,2019-12-31,0,0,0,39072
2019-11-25,44,0,4,0,2019-12-31,0,0,0,864
2016-04-28,1777,1,2,1,2018-06-08,1,0,0,18504
2015-06-03,318,0,3,1,2016-03-03,0,0,1,6576
2016-12-05,2223,1,4,0,2019-12-31,0,0,0,26904
2015-08-17,3024,1,2,1,2019-05-06,0,1,0,32592
2017-11-27,637,0,3,0,2019-12-31,0,0,0,18336
2016-03-14,1536,0,3,0,2019-12-31,0,0,0,33288
2018-08-11,709,1,3,0,2019-12-31,0,0,0,12168
2015-09-24,1362,0,3,0,2019-12-31,0,0,0,37416
2015-10-07,1079,0,5,0,2019-12-31,0,0,0,37104
2016-04-18,922,0,3,0,2019-12-31,0,0,0,32448
2018-11-21,493,0,2,0,2019-12-31,0,0,0,9720
2017-02-17,1440,1,5,0,2019-12-31,0,0,0,25128
2015-04-20,1021,0,3,0,2019-12-31,0,0,0,41184
2015-07-29,1593,0,4,0,2019-12-31,0,0,0,38784
2017-05-31,787,0,2,0,2019-12-31,0,0,0,22656
2019-11-23,35,0,2,0,2019-12-31,0,0,0,912
2019-01-21,258,0,4,0,2019-12-31,0,0,0,8256
2017-09-18,850,0,1,0,2019-12-31,0,0,0,20016
2015-05-13,2365,1,2,0,2019-12-31,0,0,0,40632
2017-05-01,477,1,2,0,2019-12-31,0,0,0,23376
2016-09-12,784,0,1,0,2019-12-31,0,0,0,28920
2018-06-13,969,1,3,0,2019-12-31,0,0,0,13584
2017-07-27,1316,1,2,0,2019-12-31,0,0,0,21288
2017-07-29,730,0,3,0,2019-12-31,0,0,0,21240
2017-09-23,54,1,2,1,2017-11-02,0,0,1,960
2017-03-28,2328,1,2,1,2019-07-01,1,0,0,19800
2015-06-03,1357,0,4,0,2019-12-31,0,0,0,40128
2019-08-26,127,0,3,0,2019-12-31,0,0,0,3048
2015-01-31,2614,0,3,0,2019-12-31,0,0,0,43080
2017-01-26,1065,0,6,0,2019-12-31,0,0,0,25656
2016-02-19,1459,0,3,0,2019-12-31,0,0,0,33864
2015-07-01,1682,0,4,0,2019-12-31,0,0,0,39456
2017-05-31,969,0,3,0,2019-12-31,0,0,0,22656
